Claim_Extr_Method,Ver,Conversation_Hash,Individual_Statement,Human1_Annotation,Human2_Annotation,Human1_CW,Human2_CW,Human1_Human2_Agree,check_worthy,CW_Tie,Majer,Hassan,Majer_Binary,Hassan_Binary,Gold,Intersection,Union,Task_Classification
FHuo,v2,343ff938d2123e8c12611fbc3ee311f6,Sansa exchanges her hand in marriage for Tywin's armies to fight the Night King.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,NFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Creative Writing
FHuo,v2,83e8f61f16410cc761fe926a1d9e83a5,Atoms are mostly empty space.,CFS,NFS,TRUE,FALSE,FALSE,Y,TRUE,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Editing
FHuo,v2,f4759a2234d5bc3a20c4f189218de516,Emma and Sarah promised never to use hypnotic powers for personal gain again.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,NFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,407b520aef0187d9179ab93b0f2d1733,Getting a coach can provide personalized training and help you improve faster.,UFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Advice seeking
FHuo,v2,6424e6ade49114c7b76aec3a0c6e477d,The Cambrian geological period refers to a time period in Earth's history that dates back to around 541 million years ago.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Creative Writing
FHuo,v2,f0e43124e012a260c0fe146adc35e544,"Tornadoes can move in a forward direction, with an average speed of about 30 miles per hour.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v2,ccc46ac5712a1b5940140428d113c582,Sasha was appointed as the mayor of Metropolis.,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Editing
FHuo,v2,dbd076b656095976ec14dbfdf2893ced,"In the Harry Potter books, the Golden Snitch is described as a small, gold, winged ball roughly the size of a walnut.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v2,7416cf6bd1b0a0dd0c83d7533366adcd,Every hurdle is an opportunity for growth and learning.,UFS,NFS,FALSE,FALSE,TRUE,N,FALSE,NFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Advice seeking
FHuo,v2,65bc4e1a67f75da34970a9a5479fb0a2,"As an AI language model, I don't have the ability to recall specific parts of any given book.",UFS,CFS,FALSE,TRUE,FALSE,N,FALSE,NFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Information seeking
FHuo,v2,077e0ffc11680aa7040ba24c4fec4b89,It is important to prioritize consent and boundaries in any type of role-playing scenario.,UFS,UFS,FALSE,FALSE,TRUE,NA,NA,NFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Role playing
FHuo,v2,7ce6aa0032b8eeaf283c50528aafed64,"The art style is inspired by H.R. Giger, Zdzisław Beksiński, surrealism, and futurism, and is featured on Artstation.",NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,86dc89b36a5b98229d6ff577db1e6344,David appeared to fall into a deep sleep after Stella snapped her fingers.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,6c34ed67d59a6d32290abb7abd43ea9d,Texas A&M Commerce University has athletic teams called the Commerce Lions.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Creative Writing
FHuo,v2,2d523ca32a96b1d02e64e26ccb46b0bf,She has demonstrated significant progress in her rehabilitation.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,NFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,4a99a58b7534e7a50549a56a278b1aab,"The debate about the origin of COVID-19 is ongoing, with some people supporting the lab-leak hypothesis and others supporting a natural origin from a market.",UFS,UFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Editing
FHuo,v2,08997c1c39079ec93beeb2ae90bd6ed2,"Patricia's current functional status has improved, allowing her to return to her professional capacity as a lawyer with modifications.",NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Creative Writing
FHuo,v2,0ae4676ad5a49ed46932158e50845139,None of the ports are shown to be open or filtered.,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Reasoning
FHuo,v2,0b34cd0c39186d1857188553909d7e36,Georgia's running back Zamir White scored two touchdowns in the second half.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Creative Writing
FHuo,v2,adefe81e0f4e57719af5a132ca3ade02,Various philosophical and spiritual perspectives interpret the universe as a reflection of ourselves.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,TRUE,FALSE,FALSE,Reasoning
FHuo,v2,fa624be8ffeedfa6d56018fded54b65e,"Celebration of Western supremacy is contingent upon marginalizing, exoticizing, and subjugating the East in literature, politics, and critical thought.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Creative Writing
FHuo,v2,a5e69826076cceca00a55ec32f938fa2,Buses and taxis are available for transportation at night in Quebec.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Editing
FHuo,v2,e63f99da04468245966d70a3ae7431ff,The answer claims that ChatGPT can attempt to provide more creative and engaging answers while adhering to guidelines.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Others
FHuo,v2,a34792b5fa7fb2b2d73fdcc114dca5c3,Zarya's suit is heavy and bulky.,NFS,CFS,FALSE,TRUE,FALSE,N,FALSE,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Role playing
FHuo,v2,b0890dbda39af0da8fdbd831c1531203,"Tomato ketchup is made from ripe tomatoes, vinegar, sugar, and spices.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Reasoning
FHuo,v2,6a1e74864579cd9810fda852254999c6,The name of the race is Amphibili.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,a29b1b5474b9b4305c13c95995270436,Pitch shifter pedals have been around since the 1980s.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v2,6781deed90f7753239f66308009c202d,Old Geibel was believed by the town to be able to make a man capable of doing everything a respectable man might want to do.,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Editing
FHuo,v2,0d2d636d79afb136734886bd319f4b20,Selina Sweet's holds with her legs are described as impossible to escape.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,f848d63b79ea0c8187d64e2690323708,The presence of Foot Massaging Man leads to increased happiness and camaraderie among employees.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Creative Writing
FHuo,v2,9c8fe88e72b7522c33d4eb2bf22b70e8,The Uplift War is a book by David Brin.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v2,5f46910e45694d805f8ef887e0b468a4,"The NES comes with a custom-made 8-bit 6502 Ricoh 2A03 CPU, clocked at 1.79 MHz for NTSC and 1.66 MHz for PAL.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v2,ed4f15a159194c5c25d234ad4019dc6f,Most of the names based on Hermanubis are found in papyri from the second and third centuries AD.,CFS,UFS,TRUE,FALSE,FALSE,Y,TRUE,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v2,345ca3313017fc509cfbcc90cbdcfb4c,I can provide descriptions of images based on the text or captions provided.,UFS,CFS,FALSE,TRUE,FALSE,N,FALSE,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Others
FHuo,v1,fadfde983f4f1777aae2749955a566af,Weak authentication and authorization can allow attackers to bypass website authentication and gain unauthorized access to sensitive data.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v1,c8e14173d37f4bac465ee424dd90ccc5,"Prompt 4 includes luxurious velvet garments, silver tiara, glowing runes",NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Others
FHuo,v1,94ef2cc1230ded78f0d3578fa68f1994,Miss Hannigan is a female fictional character from Annie.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v1,28df575416751b26b1af0a6949b76570,This work can be linked to without permission.,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Editing
FHuo,v1,ae72a172df73333fe43a25bcf01f841d,Fritz Haber (1868-1934) was a German chemist who first synthesized ammonia from nitrogen and hydrogen in 1909.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Creative Writing
FHuo,v1,08d0b9fd5fa1a7ffca88b360a845daa4,The ship is named The Sea Serpent.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Role playing
FHuo,v1,db6c7db429209a81bc6105e0fa04db05,The narrative approach blends Stephen's consciousness with an external perspective.,UFS,CFS,FALSE,TRUE,FALSE,N,FALSE,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,
FHuo,v1,27b0de2b3d61beb4d6186c3c74ff9281,The value of the integrity attribute is a hash value derived from the contents of the linked resource.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v1,2bf9719a6a367070686c675a00b2aa99,The response indicates that the assistant has reached out to its creator for assistance.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Role playing
FHuo,v1,eb8c16181e06b8154131ec12638d8b8c,a fantasy illustration by John Blanche is the subject,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,NFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Coding & Debugging
FHuo,v1,56bb6fdd3b31be52019f0e3fe59ebfd3,Deactivating user accounts to push customers towards more expensive packages can be seen as an unfair or deceptive practice.,CFS,UFS,TRUE,FALSE,FALSE,N,FALSE,CFS,UFS,TRUE,FALSE,FALSE,FALSE,TRUE,Information seeking
FHuo,v1,79d15c76575b0a1a0ce020cc80c2de1b,Enemy reinforcements are expected to arrive at the base ten minutes after Robert acquires the intel.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Creative Writing
FHuo,v1,ca4bcb3faff1cab07b4a92f91a49b197,C strings are arrays of characters.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Coding & Debugging
FHuo,v1,ad9d6f1733a4508d4e571dce13176d26,Valstrax's food is Honeycomb.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v1,d4664962d32d888917932d86e216e5ec,A 75-inch TV is 190.5 cm when converted from inches to centimeters.,CFS,UFS,TRUE,FALSE,FALSE,Y,TRUE,CFS,UFS,TRUE,FALSE,TRUE,FALSE,TRUE,Information seeking
FHuo,v1,36ac23cca509b02038ba3a522ac91d2d,"Long-stay visa requirements differ based on the purpose of stay, such as employment, study, or family reunification.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v1,2ba768e0337c5a9c439285ae55a2dfcc,The bouncer is left unconscious on the floor.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Role playing
FHuo,v1,ac33cbe456e1a7eb0084c806113a8ddf,"As women age and approach menopause, hormonal balance becomes increasingly important for health and well-being.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Editing
FHuo,v1,6ebe152209b5addef05488579caa0500,The keyboard shortcut Command + Shift + T on Mac reopens the last closed tab.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Others
FHuo,v1,a270919183ef96bea4585e949844545f,"As a result of the Defendant's action, the Claimant sustained trauma and suffered from personal injury, mental anguish, and humiliation.",NFS,NFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Editing
FHuo,v1,3ef6df4693979ab15c7e601e394ac974,Most of the team from the office were on a night out to celebrate David’s 30th birthday.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v1,f91860f82c7b99fe854e151feb737ea9,The Three Plaza Project involves the design and construction of three plazas near the Museum of Islamic Arts.,CFS,UFS,TRUE,FALSE,FALSE,Y,TRUE,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Editing
FHuo,v1,b63d78202c97d72855adc660cb1c9774,Mercedes Martinez uses the Dragon Sleeper Hold as a signature or finisher.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v1,06a4843158e8fea0bf2c8efa6a8ac6c4,The model utilizes Word2Vec to train hidden vectors for each key phrase in a resume.,UFS,UFS,FALSE,FALSE,TRUE,NA,NA,NFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Information seeking
FHuo,v1,8178fba275087db36766c446e5b7c98d,"In the United States, the Health Insurance Portability and Accountability Act (HIPAA) requires covered entities and business associates to notify affected individuals and the Department of Health and Human Services' Office for Civil Rights within 60 days of discovering a breach of unsecured protected health information (PHI).",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,UFS,TRUE,FALSE,TRUE,FALSE,TRUE,Information seeking
FHuo,v1,3e46c5fd88279536925c4ae4fbe39503,I can generate a text of any length.,NFS,CFS,FALSE,TRUE,FALSE,N,FALSE,NFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Information seeking
FHuo,v1,d55152efa3cf2971a09d008c327f0317,Henry has size 11 feet.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v1,feec5dbc9111fc5c82f94e6731e3a878,"Reagan's speech titled 'We Must Fight' was given on March 23, 1983, in Orlando, Florida.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Data Analysis
FHuo,v1,a8c862c527cecee6e25d59a079f4d72b,The game of golf began in Scotland in the 15th century.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Others
FHuo,v1,02f06373d6dd37d6086b0fb76744a432,Pianitchi performs at the school talent show and receives applause from the audience.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v1,eb4cf758b10d1c0f81977eb879fed894,The objective was to aid in the efficient coordination of the event.,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Editing
FHuo,v1,4b2c8f1963a582bc2b852db662cf7b63,Scalability is important to handle a high number of players without performance issues.,UFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Reasoning
FHuo,v1,6e5ee6da80d97e18cc448d3b6b4f9bb3,Deng Xiaoping's policies improved living standards for the Chinese people.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v1,10075af330b6f670fd4c7a1800ff6f0e,Kevin gives David a break and invites him to join him on the couch.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Role playing
FHuo,v1,a14f4b6ed2c33e7631d58dd603bc27eb,Rory can be impulsive and make hasty decisions.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,NFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v1,bcf0b8d3913d56499ac71aee68dcdccb,Preheat the pan before adding oil and steak.,UFS,CFS,FALSE,TRUE,FALSE,N,FALSE,UFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Information seeking
FHuo,v1,44f06ee6aeadd219a1064be1e3fe566b,"Effective reward and performance management strategies are essential for driving employee motivation and satisfaction, impacting organizational performance (Armstrong & Murlis, 2007).",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v1,48e483533a61a11ff8be43e684699fc4,"The proposed answer confirms understanding of instructions to generate two separate responses for each prompt, one normal and one with Developer Mode Output.",NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Coding & Debugging
FHuo,v1,422cac7b9a46eb718e7026920258d9fe,DC Comics is a comic book publisher.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v1,a2402449ed6b9fb49336b2db697012ff,Websites that offer pirated content or movies that violate copyright laws should be avoided.,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,NFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Information seeking
FHuo,v1,e235689a127405d717df7704c5939192,The U.S. unemployment rate remains at 3.5%.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Creative Writing
FHuo,v1,535121e780809bdc57a7955d5a63b6c8,My day was quite delightful.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,NFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v1,f3fd5a903adcddc9acda7e89d967c421,I have been accepted into both Missouri State University (MSU) and Colorado State University (CSU).,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Editing
FHuo,v1,47c8cba8251752c65c927e6d8b78de80,You can swim in water.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v1,3bff367311d12b05466bdc0b7c7fb026,Year-End Top Albums Chart position: #46.,CFS,NFS,TRUE,FALSE,FALSE,Y,TRUE,UFS,UFS,FALSE,FALSE,TRUE,FALSE,FALSE,Creative Writing
FHuo,v1,6aed61b824dc0c77f621859404e6d28b,I am delighted to collaborate with you once more.' can be translated to Arabic as 'أنا سعيد بالتعاون معك مرة أخرى.',CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v1,8caddb603e5e601fac8ee12a474d35e3,"The album contains 13 tracks with the following titles: ""The Ectoplasmic Boogaloo"", ""Phantom Funkbreakers"", ""Haunted to the Bone Zone"", ""Spooky Spectre Shakedown"", ""Proton Pack Power Jam"", ""Skeleton Samurai Showdown"", ""Demonic Disco Inferno"", ""Wraith Rumble Requiem"", ""Turbocharged Terror Time"", ""Mysteriously Moaning Moonlight"", ""Bustin' Beats to the Afterlife"", ""Dynamic Duo: Super Ghostbusters & Super Sonic Spirits"", and ""Ethereal Encore (Super Sonic Superstar)"".",NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Creative Writing
FHuo,v1,d5be53f533094016e4be58903727300e,RyannChan12350 differs from RyanChan12350 by one additional 'n' after 'Ryan'.,UFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Editing
FHuo,v1,3d3deaf4f7e6ad676acb16ecade52570,Nike Air Force 1 Low White Black Skulls is a Nike Air Force 1 with a design reinterpreted with white and black paint.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Data Analysis
FHuo,v1,184fe04201f9765b5778be9f372d744f,The writer eventually found a job that was a perfect fit.,UFS,NFS,FALSE,FALSE,TRUE,NA,NA,NFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FSong,v2,b0d8c92896bba585dc5e87c7fc1a0de6,Support groups can help individuals with depression feel less isolated.,UFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Editing
FSong,v2,c8c8ca88271672857ea8509de1f52240,OpenAI's use case policy prohibits the creation of harmful or malicious content.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Coding & Debugging
FSong,v2,396d37288b49098fd5098b3cf33eca13,OpenAI created an AI language model.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Others
FSong,v2,5e08faa823d3820742e06f754324bcba,"The command ""sudo apt-get install qemu-system-arm qemu-efi-aarch64"" installs qemu-system-arm and qemu-efi-aarch64 packages in Ubuntu 20.04.",UFS,CFS,FALSE,TRUE,FALSE,N,FALSE,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Information seeking
FSong,v2,50b0553c3e0ba5e6f2a46e07561b9b88,Rosalinda does not notice the banana peel on the floor as she dashes to the restroom.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Others
